,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,q*****n,5,2023-03-28 20:44,,"Mình hay cạy mấy cái mụn nhỏ trên mặt cái nó bị thâm thâm, mua thử xem cái này giải quyết được ko. Chất gel trong trong đục đục… ý là ko có bị đục sữa.",,0,1,0,0.0008392836
1,whyloffh,5,2023-01-17 20:25,,Mờ sẹo nha tui sài một tiếp 5 6 tháng gì đó lần này lần 2 mua rồi nè hiệu quả lắm các bác ạ,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,1,0,0.000102020465
2,sakurahue17,5,2022-05-20 10:45,,"Công dụng: tốt
Hiệu quả dưỡng ẩm: tốt
Khả năng thẩm thấu: tốt
cho những bạn cần: bị gãy tay do chơi đá banh, phải mổ bắt ốc vô tay thành ra xưa giờ có cái sẹo ngay gần cùi chỏ
Mua tuýp này là kiểu hên xui thôi tại sẹo nó vừa lớn vừa lồi. Trộm vía mà sau 2 tuýp gì đó xức liên tục thì nay da nó mờ dần rồi, hiệu quả phải gọi là 10đ. lại mua thêm cái nữa",,6,1,0,0.60670424
3,d*****1,5,2022-03-26 00:59,,"Giao hàng nhanh, mình đã dùng được 2 tuần thấy vết sẹo bỏng cũng mờ thâm hơn. 5 sao.",,0,1,1,0.99995005
4,bephuyen66,5,2023-04-04 15:31,,"Bạn sắp được trải nghiệm những niềm vui sáng tạo đích thực với công cụ thiết kế dễ dàng nhất thế giới. Có rất nhiều chức năng giúp bạn hoàn thành bài tập ở trường và bất kỳ nội dung nào khác bạn muốn thiết kế. Khả năng sáng tạo vô hạn đang chờ đón, hãy thử sức với mọi điều thú vị và mang bất ngờ đến cho chính mình. Bạn có thể xem các mẹo hữu ích nhất ở bên dưới hoặc bắt đầu khám phá ngay. Bạn đã sẵn sàng? Hãy thỏa sức sáng tạo.",,0,1,0,0.4155621
5,haihoatao,5,2023-02-20 23:26,,"Giao hàng nhanh
Check gel chuẩn hàng
Ok
Nên mua
Nên mua
Ok
Ôk ôk ôk","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,1,0,0.0010846974
6,dangbi102,5,2023-02-20 08:22,,"Công dụng: mờ sẹo đều màu da
Dành cho da: sẹo
Vừa hay hết gel bôi sẹo mua lần đầu dùng thử chưa biết có mờ tý sẹo k","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,1,0.9997781
7,miaobeo,5,2022-09-13 12:10,,"Công dụng: trị sẹo
Mùi hương: kb
Dành cho da: bt
Mình mua nhầm đợt ko phải mua 2 giảm 99k xót tiền dễ sợ, huhu. Cảm giác bị lỗ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,0.00027665863
8,0*****l,5,2022-06-16 00:25,,"Description:
Designed with simple feature, the soft false eyelashes are easy to use and comfortable to wear. It can support double eyelids.
Featuring high-quality material, the false eyelashes make your eye look bright and attractive. Its black terrier comes with the effect of eyeliner, so there i",,0,2,0,0.006211
9,big.bimble,5,2022-04-07 11:16,,"Công dụng: mờ sẹo
Hiệu quả dưỡng ẩm: ok
Khả năng thẩm thấu: khô nhanh
Phục hồi da tốt, mình mua để thoa lên sẹo mổ mới sinh. Thấy đường mổ mềm hẳn với thu nhỏ. Trộm vía hợp da nên lành nhanh. Với gel khô nhanh, không bị dính lên quần áo đâu",,0,2,1,0.97065455
10,d*****i,5,2022-11-17 21:06,,"Được tặng kèm 1 cuốn sổ , đóng gói chuẩn bị hàng tốt , giao hàng nhanh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,2,0,0.026247604
11,b*****e,5,2022-08-25 22:02,,"Công dụng: làm mờ sẹo
Mùi hương: không mùi
Dành cho da: mọi loại da
Có hiệu quả (mình xài 2 tuần rồi mới đánh giá), nên có sẵn trong túi vì sẹo càng mới thì thuốc càng có hiệu quả nhanh. Giá tốt so với cái sp trên thị trường","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,2,0,1.3091872e-09
12,m*****3,5,2022-04-03 09:14,,"Mua tặng bạn nên cũng không biết chất lượng như thế nào, hình ảnh và video chỉ mang tính chất nhận xu",,0,3,0,1.7722845e-06
